product_id,product_name,aisle_id,department_id
2189,Banana Low-Fat Greek Yogurt,120,16
2190,Spicy Red Lentil Sauce,76,6
2191,Cosmic Maple Masala Pecans,117,19
2192,Bold & Crispy Zesties! Crispy Seasoned French Fried Potatoes,129,1
2193,Complete Multi-Benefit Whitening+Scope DualBlast Fluoride Toothpaste Mint,20,11
2194,Liquorice And Peppermint Tea Bags,94,7
2195,Organic Rice Protein Vanilla Single,65,11
2196,Deep Clean HE 66 Loads Detergent,75,17
2197,Sparkling Pink Lemonade,77,7
2198,Cold Brew Baridi Black,100,21
2199,The Best Lip Balm Ever,132,11
2200,Grape Licorice Twists,45,19
2201,Stainless Steel Scrubbing Pads,114,17
2202,98% Fat Free Condensed Soup Cream of Chicken,69,15
2203,Mixed Fruit In Light Syrup,99,15
2204,Milk Chocolate Dipped Marshmallows - 3 CT,45,19
2205,3D White Arctic Fresh Toothpaste,17,13
2206,Crunch Mixed Nuts & White Chocolate Bar,3,19
2207,Livewire Soda,77,7
2208,Granola With Raisins,121,14
2209,Rich Golden Layer Cake,119,1
2210,Large Brown Grade AA Eggs,86,16
2211,Triple Enzyme Formula Spray Laundry Stain Remover,75,17
2212,Complete Multivitamin Supplement Tablets for Children,47,11
2213,Multi-Vitamin & Mineral Sour Gummy Bears,47,11
2214,Power & Free Multi-Purpose Cleaner,114,17
2215,Hairball Control Dry Cat Food,41,8
2216,California Champagne,134,5
2217,Tangerine And Lemongrass Room & Fabric Freshener,101,17
2218,Fast-Max 2 Pack Day Time Severe Cold & Night Time Cold & Flu Liquid,11,11
2219,Quartered And Marinated Artichoke Hearts,81,15
2220,Daily Probiotic Supplement 250 mg Capsules,70,11
2221,Single & Sparkling Natural Mineral Water,115,7
2222,Natural Shape Orthodontic Pacifiers,82,18
2223,Tangerine Flavor Slippery Elm Throat Lozenges with Rose Hips and Vitamin C,47,11
2224,Mojo BarÂ® Dark Chocolate Almond Coconut,3,19
2225,Angel Flake Sweetened Coconut,17,13
2226,SunChips Mix variety,107,19
2227,Family Recipe Oatmeal Chocolate Chip Cookies,61,19
2228,Organic Frozen Mango Chunks,116,1
2229,Uncrustables Peanut Butter & Strawberry Spread Sandwich,38,1
2230,Power Source Grounding Strip Tap 6 Outlets,87,17
2231,Whole Wheat Pita Pocket Bread 6 ct,128,3
2232,Old World Style Meat Flavored Pasta Sauce,9,9
2233,Natural Daily Clarify Shampoo,22,11
2234,Lunchables Ham & Cheddar with Cracker Stackers,96,20
2235,Peach Mango Green Tea Drink Mix,90,7
2236,Fresh Scent Plus OxiClean Stain Fighters Liquid Laundry Detergent,75,17
2237,Homemade Salted Butter,36,16
2238,Vitamin C Super Orange Dietary Supplement,47,11
2239,Instant Carpet Spot Remover,114,17
2240,Eggo Nutri-Grain Blueberry Waffles,52,1
2241,Traditional Ricotta Cheese,108,16
2242,Organic Ginger Lemonade,94,7
2243,Mango Peach Goat Milk Yogurt Baby Food,120,16
2244,Seasonal Flavor Rotation Hummus,67,20
2245,Ultra Built Strong Paper Bowls,111,17
2246,Hydrate Plus Face Lotion,73,11
2247,Kosher Dill Spears,110,13
2248,Variety Pack Granola Bars,3,19
2249,Powdered Grape Drink Mix,90,7
2250,Milk Chocolate Giant Candy Bar,45,19
2251,Ruby Port,134,5
2252,Body Oil Fragrance-Free,127,11
2253,Craisins Dried Cranberries Cherry Juice Infused,117,19
2254,Chocolate Laurel Ice Cream,37,1
2255,"Sesame Oil, Unrefined",19,13
2256,Tissue Plus Lotion,54,17
2257,Plus Antibiotic Brand Adhesive Bandages,118,11
2258,Walnut Chocolate Chip Cookie Dough,105,13
2259,"White Label Antiperspirant, Night",80,11
2260,Rice Thins Rice Cakes Wholegrain,78,19
2261,Light Agave Nectar,29,13
2262,Chopped Collard Greens,116,1
2263,"Arrabbiata Sauce, Hot",9,9
2264,Milk Thistle Super Herb Tea,94,7
2265,Lime Grain-Free Tortilla Chips,100,21
2266,Brie Couronne,108,16
2267,Dal Tadka Lentil Curry,76,6
2268,Cider and Spice Juice,98,7
2269,"Turkey Bar, Almond + Cranberry",3,19
2270,Grapeseed Oil Vegenaise,72,13
2271,Match Light Instant Charcoal Briquets,87,17
2272,Peppermint,20,11
2273,Sweet Mint Gum,46,19
2274,Mammoth Pecan Halves,117,19
2275,Chicken Apple Sausage Egg White Breakfast Burrito,52,1
2276,Organic Sweet Mesquite Powder,65,11
2277,Canine Cuisine Wet Dog Food Grilled Chicken Top Sirloin,40,8
2278,Old No 7 Tennessee Whiskey,124,5
2279,"Olive Oil, Extra Virgin, Organic",19,13
2280,Ultra Downy Free & Gentle Liquid Fabric Conditioner 51 FL oz. Fabric Enhancers,75,17
2281,Citrus & Light Multi-Purpose Cleaner With Febreze,114,17
2282,"Macaroons, Dark Cacao",61,19
2283,100% No Cholesterol Safflower Oil,19,13
2284,Xylitol Spearmint Gum Bottle,20,11
2285,Vegan Hot Chocolate,90,7
2286,Cream Cheese With JalapeÃ±o,67,20
2287,Hydrating Mist,109,11
2288,Real Coco Aloe Vera Drink,98,7
2289,Quick 5-Minute Grits,130,14
2290,3 Cheese Horn,8,3
2291,Probiotic Supplement Capsules,70,11
2292,Shoestring Beets,81,15
2293,Quart Storage Reclosable,85,17
2294,Apricot Nectar,98,7
2295,Yellow Bell Pepper,83,4
2296,"Notebook, 3 Subject, College Rule, 120 Sheets",87,17
2297,Cool Essentials Anti-Perspirant Deodorant,80,11
2298,"Muffins, Mini, Flax, Chocolate Brownie",8,3
2299,Chocolate Chip Peanut Butter Creamie,8,3
2300,Cafe Steamers Rosemary Chicken & Sweet Potatoes,38,1
2301,Beef Loin Porterhouse Steak,122,12
2302,Cheddar + Roasted Tomato Baked Potato Chips,107,19
2303,Non Scratch Dishwand Refills,114,17
2304,Vanilla Frozen Dairy Dessert Sandwiches,37,1
2305,Baby Persian Cucumbers,123,4
2306,VentAire Wide Bottle,82,18
2307,Pro-Health All-In-One Medium Toothbrushes,20,11
2308,Bubblemint Gum,46,19
2309,Organic Ground Flaxseed,47,11
2310,Perfecto,67,20
2311,Essential Greens with Lime Vegetable and Fruit Juice Blend,31,7
2312,Organic Miso Ginger Dressing,89,13
2313,Butter Croissants,93,3
2314,Whole Milk Ricotta Cheese,108,16
2315,Pullman Green Leaf Salad,123,4
2316,Super Colossal Pimento Stuffed Spanish Queen Olives,110,13
2317,Grands! Original Reduced Fat Flaky Big Biscuits,105,13
2318,Japanese Organic Kukicha Twig Tea,94,7
2319,Classic Roasted Chicken Stock,69,15
2320,Original Sambucus Elderberry Syrup,47,11
2321,Orange Halo,24,4
2322,All American Classic Made with Non-GMO Soy Veggie Burgers,42,1
2323,Rich Chocolate Flavored Milk Mix,90,7
2324,Pullâ€‘Ups Boys Learning Designs Training Pants 3T-4T,56,18
2325,Hippie Hemp Truffles,45,19
2326,Organic Blueberry Waffles,52,1
2327,Gourmet Naturals Classic Butter & Sea Salt Microwave Popcorn,23,19
2328,Traditional Style Feta,21,16
2329,Whole Grain Chicken Breast Strips,38,1
2330,Prostate +,47,11
2331,Complete Omega Lemon Softgels,47,11
2332,Low Carb Whole Wheat Large Tortillas,128,3
2333,Organic Cranberry Juice 100%,98,7
2334,Organic Garam Masala,6,2
2335,Organic Chopped BBQ Ranch Salad Kit,100,21
2336,Pasta Sides- Parmesan Fettuccini & Spinach Pasta,4,9
2337,Vanilla Flavor Tea Biscuits,33,6
2338,Best Original Baked Beans,59,15
2339,Organic Himalayan Sweetness Popcorn,23,19
2340,Beef Stew Spices & Seasonings,104,13
2341,Vegetable Soup,69,15
2342,Salted Caramel Coffee,26,7
2343,Aged Parmesan Ranch Dressing,89,13
2344,Organic SprouTofu Savory Baked Tofu,14,20
2345,Raw Shea Butter Restorative Conditioner,22,11
2346,Eye Liner Black,132,11
2347,Premium Mo' Beta Fruit Smoothie Blend,31,7
2348,Dandelion Caramel Nut Herbal Coffee,26,7
2349,Pull Ups Girls Learning Designs Training Pants,56,18
2350,60% Cacao Bittersweet Premium Baking Chips,17,13
2351,Sugar Free Whipped Topping,119,1
2352,Canine Cuisine with Lamb in Meaty Juices,40,8
2353,"Multivitamin, Kids Complete, Gummies",6,2
2354,Sage Deodorant,80,11
2355,Cushioned Nail Board,132,11
2356,Sponge Bob Square Pants Fruit Snacks,50,19
2357,Elbows Enriched Macaroni Product,131,9
2358,Nourish & Volume Conditioner,22,11
2359,Kosher Dill Wholes Pickles,110,13
2360,Lorraine Quiche,13,20
2361,Mint Chip,37,1
2362,"Pretzel Sticks, Thin",107,19
2363,Brownie Chocolate Chip Mini Cake,61,19
2364,Elegant Medleys Shredded Tuna Fare,41,8
2365,Boneless Whole Pork Chops,112,3
2366,PlugIns Scented Oil Refill Lavender & Vanilla,101,17
2367,Variety Pack Instant Oatmeal,130,14
2368,Vegan Oatmeal Raisin Cookies,61,19
2369,Brownie Brittle Toffee Crunch,45,19
2370,Parmesan & Garlic Kettle Chips,107,19
2371,Natural Uncured Beef Hot Dog,100,21
2372,Smores Drumstick,37,1
2373,Blueberry B Juice Smoothie,31,7
2374,100% Whole Wheat Pre-Sliced Bagel Thins,93,3
2375,Three Cheese Pizza Pocket,100,21
2376,Flaked Fish & Shrimp Feast Cat Food,41,8
2377,Mister Salty Pretzels & Cheese Dip Handy Snacks,78,19
2378,French Butter Cookies Coated in Dark Chocolate,61,19
2379,Simply 100 Key Lime Blended Non-Fat Greek Yogurt,120,16
2380,Cayenne Pepper,104,13
2381,"Curry, Condensed, Mild, Korma Masala",76,6
2382,Organic Eggnog,84,16
2383,Vegan Made with Non-GMO Soy Soy Protein Burgers,42,1
2384,Spicy Peanut Chicken & Broccolli,100,21
2385,Onion Garlic Brown Rice Snaps,78,19
2386,Passion Orange Guava Juice,31,7
2387,Pinot Noir Monterey,28,5
2388,Mission Chunky Salsa Med 16 Oz,51,13
2389,Breakfast Hot & Spicy Sausage Patties,42,1
2390,Pita Crisps Simply Naked,107,19
2391,Golden Maple Sweet Belgian Style Waffles,52,1
2392,Sensor 2 Razors,55,11
2393,Avocado & Olive Oil Super Potion Anti Frizz Binding Serum,22,11
2394,Roasted Garlic BBQ Sauce,5,13
2395,Organic Lightly Salted Bread Crumbs,5,13
2396,Dual Pack Repair And Protect Shampoo + Conditioner,22,11
2397,Caramel Sea Salt Macaroons,8,3
2398,"Bean Threads, 3 Pack Tray",66,6
2399,Organic Enchilada Red Sauce Medium,72,13
2400,100% Pure Evening Primrose Oil,47,11
2401,Organic Milk Chocolate Baking Wafers,17,13
2402,Beef Lo Mein,38,1
2403,"Almond Butter, Vanilla Espresso",88,13
2404,Tamari Roasted Pumpkin Seeds,6,2
2405,Organic Just Pears Sage 1 Baby Food,92,18
2406,Pure Zero,64,7
2407,Mild Smoked Snack Sticks,23,19
2408,Feta Crumbled Traditional Cheese,21,16
2409,Oreo Mini 20 Count Multipack 20oz,61,19
2410,Original Scent Liquid Fabric Softener,75,17
2411,Acnedote Face & Body Scrub,109,11
2412,"Dual Scented Oil Refill, Hawaiian Aloha",101,17
2413,Carmel Apple Crisp Twist,120,16
2414,Brisk Lemon Iced Tea,94,7
2415,Sweet And Simple Sugar Cookies,61,19
2416,Classic Crust Four Cheese Frozen Pizza,79,1
2417,Even Advanced Sea Lettuce Cleansing Milk,73,11
2418,Gluten Free Greek Plain Yogurt,120,16
2419,Bristol Cream Sherry,28,5
2420,"Poultry Grill & Broil, Blend",104,13
2421,Organic Jelly Beans,45,19
2422,Classic Meal For 2 Shrimp Scampi & Linguine,38,1
2423,Milk Chocolate Mousse Supreme Instant Mix,105,13
2424,SmartBlend Classic Ground Turkey & Barley Entree Adult Dog Food,40,8
2425,Light Tuna Chunk In Water,95,15
2426,Roasted Green Chile & Jack Cheese Tamales,13,20
2427,Blueberry Lemonade Liquid Water Enhancer,90,7
2428,Half Time Turkey Breast & American Cheese,96,20
2429,"Seriously Sharp Cheddar Cheese Cracker Cut Slices,",21,16
2430,Natural Floor Soap with Natural Linseed Oil,114,17
2431,Organic Spicy Lemonade Juice Drink,31,7
2432,Salt-Free Blend Pumpkin Pie Spice,104,13
2433,Meyer Lemons,24,4
2434,Caramel Flavored Sundae Syrup,103,19
2435,Teriyaki Meal Bowls,38,1
2436,Green Lentil Spaghetti Pasta,131,9
2437,Healing Ointment Tube,127,11
2438,Total Clean Mint Whitening Toothpaste,20,11
2439,Gluten Free Muffin Mix,105,13
2440,Hurt-Free Antiseptic Wash,118,11
2441,Harvest Best In 100% Fruit Juice Mixed Fruit,99,15
2442,JalapeÃ±o Pepper Slices,110,13
2443,Original Creole Seasoning,104,13
2444,Mild Tandoori Marinade,76,6
2445,Powerball Max in 1 Shine & Protect,74,17
2446,Orange Cauliflower,83,4
2447,3 lb Clementines,123,4
2448,Kids Anticavity Fluoride Rinse Kiwi Watermelon,20,11
2449,"Tri Fun Pack Fruit Loops, Cocoa Krispies; Apple Jacks",121,14
2450,Taco Seasoning,30,6
2451,Toasty Crackers Peanut Butter Sandwich Crackers,78,19
2452,Naturals Chicken Nuggets,129,1
2453,Greek Style Kefir,120,16
2454,Herbal Daily Cleansing Shampoo,22,11
2455,Aromatherapaes Uplifting Energy Tangerine & Peppermint Spa Bath,127,11
2456,Clump & Seal Multi-Cat Cat Litter,41,8
2457,Variety Tea,94,7
2458,Peppermint Gum,46,19
2459,Quinoa and Banana Organic Baby Cereal,92,18
2460,Dog Joy Turkey Bacon Treats,40,8
2461,Crumbles Gorgonzola Cheese,2,16
2462,Rainbow Trout Fillet,39,12
2463,P3 Turkey Cheese Almonds,125,19
2464,Kale Apple Greens,31,7
2465,Peanut Butter Formula Miniature Dog Treats,40,8
2466,Mild Sweet Mango Chutney,76,6
2467,Mini-Brushes with Beads Peppermint,20,11
2468,Organic Hibiscus Herbal Tea Bags,94,7
2469,Italian Salad Blend,123,4
2470,Buckwheat Soba Pasta,131,9
2471,Organic Kale Combo,123,4
2472,Sharp White Cheddar,21,16
2473,West Soymilk,91,16
2474,Force Dehydrated Dry Dog Food,40,8
2475,Super Plus Cardboard Applicator Tampons,126,11
2476,Gluten Free Apple Cinnamon Toaster Pastry,48,14
2477,Organic Bananas Stage 2 Baby Food,92,18
2478,"Miso, Dark Aged",66,6
2479,Classic Coca Cola,77,7
2480,Organic 85% Cacao Dark Chocolate Bar,45,19
2481,Natural Deli Style Sliced Swiss Cheese,21,16
2482,Protein Bar Lemon Cream Pie,3,19
2483,Butterfinger Cup Ice Cream,37,1
2484,"Organic Kiwi, Banana, & Apple with Super Grain Salba",50,19
2485,"Tea, Mental Focus, Bags",94,7
2486,Fresh'n Soft Clean Burst Scent Fabric Softener Sheets,75,17
2487,GentleFloss Mint,20,11
2488,Spicy Guacamole,67,20
2489,Anti-Breakage Conditioner,22,11
2490,Low Sodium Kluski Premium Enriched Egg Noodles,33,6
2491,Star Crunch,61,19
2492,Fresh Cured Green Ripe Medium Pitted Olives,110,13
2493,Wild Cherry Drink,98,7
2494,Copper Coated Scrubbing Pads,114,17
2495,Original Liquid Laundry Detergent,75,17
2496,Bockwurst,106,12
2497,Gluten Free Devil Food Cake Mix,105,13
2498,2nd Foods Sweet Potato & Turkey With Whole Grains Baby Food,92,18
2499,Albacore Tuna in Yellow Coconut Curry,66,6
2500,Cava,134,5
2501,Bath Effervescents For Sore Muscles,127,11
2502,Sundried Tomato & Basil Spreadable Cheese,2,16
2503,Usda Prime Beef Top Sirloin Steak,122,12
2504,"Bread, Watsonville Sourdough",112,3
2505,Grill Shakers Steak Seasoning Blend,104,13
2506,Fig Bars Multigrain,61,19
2507,Savory Garlic & Herb Jack Snack Cheese,100,21
2508,The Complete Cookie White Chocolate Macadamia,61,19
2509,Tulsi Holy Basil Sweet Rose Infusion Bags 18 Count,94,7
2510,Small Household Gloves,114,17
2511,Organic Stevia All-Purpose Sweetener,29,13
2512,99% Fat Free Chicken Broth,69,15
2513,Steam In Bag Broccoli & Cauliflower,123,4
2514,Extreme Clean Whitening Action Mint Blast Fluoride Toothpaste,20,11
2515,"Evaporated Milk,",17,13
2516,24 Hour Non-Drowsy Allergy Relief,11,11
2517,Vanilla Animal Cookies,61,19
2518,Smart Ones Broccoli & Cheddar Cheese Baked Potato,38,1
2519,Rice Krispies Cereal,121,14
2520,Light Savory Vegetable Barley Soup,69,15
2521,Flexible Fabric Assorted Posted 2/6/13 Premium,118,11
2522,4 Cheese Sauce,9,9
2523,Maximum Absorbency Long Length Incontinence Pads,126,11
2524,Stax Sour Cream & Onion Potato Crisps,107,19
2525,Warm & Ready Crusty Rolls,58,1
2526,"Peanuts, Extra Large Gourmet Virginia, Salted",117,19
2527,ProActive Health Adult Hairball Care Dry Cat Food,41,8
2528,Cluckin' Good Stew,40,8
2529,"Tortilla Sticks, Veggie",107,19
2530,Pink Lemonade Unsweetened Soft Drink Mix,90,7
2531,Organic Tamayokucha Whole Leaf Green Tea Sachets,94,7
2532,Large Oven Cooking Bags,85,17
2533,Sparkling Apple-Grape Organic 100% Juice,98,7
2534,PM Acetaminophen Caplets,133,11
2535,Shaved Parmesan,2,16
2536,Ultra Plush 3 ply Toilet Paper 12 Double Rolls,54,17
2537,Tomato Basil Marinara Sauce,9,9
2538,Roast Turkey Breast & Stuffing Dinner,38,1
2539,Original Potato Salad,1,20
2540,Organic Juliette Vanilla Ice Cream Sandwiches,37,1
2541,100% Non-Pareil Capers,110,13
2542,"Hand Wash, Foaming, Green Tea + Aloe",127,11
2543,Crispy Rice Cereal,121,14
2544,Zero Calorie Creamy Root Beer Stevia Soda,77,7
2545,Gluten Free Chocolate Chunk Cookie Dough,105,13
2546,Gluten Free Penne Rigate,131,9
2547,Disinfecting Bathroom Cleaner - Lemongrass Citrus,114,17
2548,Black Gram Lentils Curry,104,13
2549,Light Buttery Spread,36,16
2550,Bio Active 20+ Manuka Honey,29,13
2551,Butterscotch Pudding Snacks,71,16
2552,Organic Raw Pomegranate Kombucha,94,7
2553,Rosemary Flatbread Kamut,78,19
2554,Snacking Lupini Beans Hot Pepper,100,21
2555,Bread Bohemian Style Rye Unseeded,112,3
2556,Yellow Mustard,72,13
2557,Touch Of Phlly Shredded Sharp Cheddar Cheese,100,21
2558,Organic & Fair Trade Green Tea with Jasmine Bags,94,7
2559,Crisp Apple Sparkling Water,115,7
2560,Witch Hazel USP,118,11
2561,Restaurant Style Mild Salsa,51,13
2562,Quick & Easy Steel Cut Irish Oatmeal,130,14
2563,Roasted Garlic & Parmesan Baby Reds Mashed Potatoes,4,9
2564,100% Tomato Juice,98,7
2565,Guacamole Spicy,67,20
2566,Mold and Mildew Remover with Bleach,114,17
2567,Oil-Free Acne Wash Pink Grapefruit Facial Cleanser,73,11
2568,Diced Yellow Onions,123,4
2569,Cashmere Woods Candle,101,17
